"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",25.8290601164259,0.414992507313912,7.83508174691234,6.14251046761288e-09,11.0916008723566,60.1482467838022
"any_hard_drug_ever_used_factorEver Used",0.357688580488192,0.0867928031943592,-11.8453664384459,3.08344956733318e-13,0.299726851866332,0.426859054552494
"IRSEXFemale",0.237421842758631,0.0979512805387119,-14.679918270394,9.10657943880394e-16,0.194477846500193,0.289848599381978
"NEWRACE2",0.99330657219641,0.0181353036606563,-0.370323507190232,0.713581450838301,0.95728288655265,1.03068587167762
"EDUSCHGRD2",0.998497449569759,0.0011743462606724,-1.28044039609025,0.20959411628766,0.996111833125408,1.00088877939451
"EDFAM18",0.974335764354244,0.0097878332062654,-2.6562883667313,0.012217389635517,0.955102636692879,0.993956194055648
"IMOTHER",0.980349396538375,0.130829107495725,-0.151695934934595,0.8803791114358,0.751009922342593,1.27972335744285
"IFATHER",0.934372046056224,0.0905213647333776,-0.749884671087521,0.458802282259427,0.777037575598304,1.12356358027996
"AGE314-15",0.551708098342498,0.11421544710693,-5.20714312282739,1.0877420267905e-05,0.437190858333611,0.696221844475138
"AGE316-17",0.424222282199734,0.0887999607677219,-9.65651001686109,5.29432123585463e-11,0.354028694354024,0.50833321587992
"POVERTY3",0.992955674068203,0.0508577364406303,-0.13900056960146,0.890320812014063,0.895240328344992,1.1013366349201
"AVGGRADE",0.899796493359941,0.178309697713495,-0.592153209104059,0.557909146797613,0.625757959728243,1.29384487544427
"PARLMTSN",0.88926443582992,0.0812887957283683,-1.4437492094703,0.158529233835011,0.753564628865413,1.04940068381732
"YEYARGUP",0.987032170929362,0.00402160499808334,-3.24563089267324,0.00274678000820679,0.978979685683606,0.995150890969957
"YEPPROUD",0.95253833634794,0.054398954780101,-0.893857701006457,0.37807176739985,0.852627970132369,1.0641561313918
"YEYFGTSW",1.00327128216778,0.00857783527616224,0.380742117276036,0.7059105740244,0.985893901120306,1.02095495720057
"YEPGDJOB",0.953148377776239,0.0604766531132646,-0.793441592978809,0.43336482408023,0.842676954991748,1.07810214184197
"YESCHACT",1.05494712668788,0.0431262478564117,1.24032698060615,0.2238722470829,0.966228777162563,1.15181152374205
"YECOMACT",1.00952562952464,0.00896337002321135,1.05769891897539,0.29811226143489,0.991261167036322,1.02812662349535
