"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",24.7833457299823,0.381592286618096,8.41257016196388,1.29963543271669e-09,11.3918003859957,53.9172215769251
"any_soft_drug_ever_used_factorEver Used",0.398192956804898,0.0906259019519653,-10.1606555659816,1.53283741972512e-11,0.331072631700427,0.478920984904905
"IRSEXFemale",0.248918251451771,0.0956489872131778,-14.5388966926053,1.19268157137799e-15,0.204853261201461,0.302461847775384
"NEWRACE2",0.995692746769366,0.0178304644395151,-0.242088824073596,0.8102561480444,0.960178548574868,1.0325205113576
"EDUSCHGRD2",0.998549107658469,0.00121662316799682,-1.19342286355612,0.241476879183449,0.996077586636194,1.00102676115099
"EDFAM18",0.974447948112509,0.00968270502421446,-2.67323804034149,0.0117257870048105,0.955417176243332,0.993857790284107
"IMOTHER",0.982952845684289,0.125665410851379,-0.136824681281985,0.892026604840835,0.760966308117509,1.26969655099321
"IFATHER",0.981641724580454,0.0884697144855232,-0.209437544732306,0.835434341354232,0.819766454310432,1.1754817123468
"AGE314-15",0.618433086239702,0.120515929279931,-3.98757477983656,0.000362673115734321,0.483816684552863,0.790504946123193
"AGE316-17",0.537303335645777,0.0924175377953054,-6.72158648588845,1.36759520484249e-07,0.445106883792048,0.648596741610843
"POVERTY3",0.977663117074645,0.0511132630106559,-0.441962184097342,0.661489126550217,0.880994021527833,1.08493945149651
"AVGGRADE",0.89823738272453,0.137720375176885,-0.779266680452633,0.441547927660709,0.678515385732424,1.18911142280566
"PARLMTSN",0.879371412781324,0.0791807046369316,-1.62347545394188,0.114299491478124,0.74838797835628,1.03327966774058
"YEYARGUP",0.987219535079889,0.00397768314938502,-3.23375119955224,0.00283401035635183,0.979253127086843,0.995250751297241
"YEPPROUD",0.958792264596468,0.0377595629322446,-1.11444203755006,0.273390081419339,0.887812633093092,1.03544663860807
"YEYFGTSW",1.0055809710832,0.00999931853455177,0.556583445895539,0.581683928969449,0.98530652811236,1.02627259695707
"YEPGDJOB",0.956690309732538,0.0430418022782959,-1.02866383032839,0.311350646497851,0.876385840857261,1.04435319018944
"YESCHACT",1.05001368742379,0.0409863807657685,1.19071747283767,0.242522622058887,0.965911246921548,1.14143897515551
"YECOMACT",1.0085826663693,0.00974757414109973,0.876735540203119,0.387164881135591,0.988754593540165,1.02880836311309
