"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",33.2086950121779,0.390444945603752,8.97133329303025,5.3815402406442e-10,14.9605506718086,73.7150288518443
"drug_typeSoft Only",0.428357177715638,0.0973555949217877,-8.70826072947122,1.03364633482787e-09,0.351120940853585,0.522583105565956
"drug_typeHard Only",0.368819797054806,0.119890174341774,-8.31967352259627,2.75594202088887e-09,0.288720695445765,0.471140603514862
"drug_typeBoth",0.199509646379217,0.138958194957609,-11.5998390129843,1.29595646477434e-12,0.150215674859205,0.264979663644744
"IRSEXFemale",0.239567555489839,0.0958038821484878,-14.9150514677401,2.03882974934152e-15,0.196994895298035,0.291340613453701
"NEWRACE2",0.991416418179248,0.0176357907113904,-0.488814653873711,0.628527469339419,0.956343880908063,1.0277751903448
"EDUSCHGRD2",0.998738866910594,0.00125518467405968,-1.00537316384286,0.322757931235095,0.996181949287101,1.00130234741925
"EDFAM18",0.974645885180087,0.0089346558525765,-2.87432096616666,0.00737436163902966,0.957022793458537,0.992593497241121
"IMOTHER",0.99107803683148,0.130674254032129,-0.068582769248953,0.945776824031672,0.758938576325552,1.29422288671278
"IFATHER",0.978742121930458,0.0902402188290021,-0.238109804049037,0.813414802012982,0.814010353162376,1.17681075863399
"AGE314-15",0.621342452253717,0.120975602099312,-3.93362701140138,0.000458107500770618,0.485324258996851,0.795481445272588
"AGE316-17",0.53931227476804,0.0929974328069405,-6.63954367023711,2.36951580939696e-07,0.446022173482255,0.65211495528271
"POVERTY3",1.01738210807968,0.0516554934772664,0.333609576961268,0.740994848504905,0.915521139733204,1.13057613737056
"AVGGRADE",0.806796812321352,0.160593817219613,-1.33681001947285,0.19133454292697,0.581200345117561,1.11995992748461
"PARLMTSN",0.8727875787749,0.0819017619225487,-1.66129608006503,0.107070926100506,0.738356293377443,1.03169454164095
"YEYARGUP",0.987416695067778,0.00377728157135285,-3.35244936104035,0.00217932513888415,0.979828832483876,0.99506331858694
"YEPPROUD",0.959878121753905,0.0303419740564737,-1.34958124379276,0.187247284286447,0.902203173075671,1.02124004450218
"YEYFGTSW",1.00666204730241,0.00882931105103673,0.75203533971339,0.457889916257746,0.988672737217695,1.02497868033753
"YEPGDJOB",0.961066911167599,0.0319524011097624,-1.24282509142417,0.223558827060491,0.900354454796067,1.02587331336128
"YESCHACT",1.0492424607234,0.0396527522405072,1.21223458887158,0.234883467152794,0.967622462454984,1.13774719387121
"YECOMACT",1.00882216482902,0.00852865809045335,1.02987794961869,0.311299396224347,0.991402802489034,1.0265475926588
