"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",30.5911567167155,0.38630218806998,8.85501319082731,4.06819763784864e-10,13.9271359477207,67.1939207586899
"any_drug_ever_used_factorEver Used",0.347710384925121,0.0735627607703116,-14.3603279956561,1.68310751764831e-15,0.299324259531193,0.403918185496008
"IRSEXFemale",0.241366359736627,0.0964152723619628,-14.7428856452723,8.07812155862043e-16,0.198328443311059,0.293743643825911
"NEWRACE2",0.992276413466566,0.0174384082804993,-0.444625895825057,0.659582944532857,0.957648533883567,1.02815641217468
"EDUSCHGRD2",0.998535593947346,0.00120549492595175,-1.21566612318183,0.233004787563673,0.996086684899377,1.0009905237118
"EDFAM18",0.973573538152826,0.00955107033215401,-2.80407494968453,0.00850608010690633,0.95481582482507,0.99269975376148
"IMOTHER",0.96273834863119,0.129144650487367,-0.294039345740359,0.770626714073009,0.74005360720235,1.2524297144216
"IFATHER",0.987316147265912,0.0893132606924556,-0.142923675895637,0.887246632383754,0.823089662555739,1.18430982552401
"AGE314-15",0.622454730361925,0.119749010464356,-3.9589836589,0.000392960242993966,0.487724233638203,0.79440360889951
"AGE316-17",0.5334325718614,0.0908260398092852,-6.91896955775118,7.81675943050566e-08,0.443335174500906,0.641840136061855
"POVERTY3",0.998663988751136,0.0503941057910057,-0.0265289856144681,0.97900016894509,0.901237609227778,1.10662244031614
"AVGGRADE",0.856290125241351,0.149388592358232,-1.03854000134023,0.306802774948872,0.631636863011129,1.16084545016957
"PARLMTSN",0.8871450885167,0.081647421794192,-1.46663220032492,0.152235545147022,0.751219724781083,1.04766472726559
"YEYARGUP",0.987706494259771,0.00377203078042401,-3.2793199938741,0.00251315386022344,0.98014665434283,0.995324642981132
"YEPPROUD",0.95893963166215,0.0332080331198539,-1.26256063363246,0.215870742544225,0.896219690949191,1.02604888785519
"YEYFGTSW",1.00703918717802,0.00900219748465621,0.779201718893938,0.441585641833938,0.988741508091074,1.02567548364599
"YEPGDJOB",0.958631931753274,0.0368216777874373,-1.1473698247541,0.259735030611122,0.88936159268446,1.03329757900065
"YESCHACT",1.05323681381304,0.0446288182984913,1.16221097160405,0.253744745957717,0.961714330849043,1.15346912319764
"YECOMACT",1.0094312458231,0.00879371305361893,1.06747277688377,0.293745775087104,0.991511078074547,1.02767529539127
