"variable","test_name","var_type","row_type","var_label","label","stat_0","stat_1","stat_2","estimate","parameter","statistic","p.value"
"AGE3","svy.chisq.test","categorical","label","Age Group","Age Group",NA,NA,NA,NA,NA,43.2108560383221,7.41827249754453e-12
"AGE3","svy.chisq.test","categorical","level","Age Group","12-13","2,757 (29%)","531 (18%)","2,226 (33%)",NA,NA,NA,NA
"AGE3","svy.chisq.test","categorical","level","Age Group","14-15","3,406 (36%)","960 (37%)","2,446 (36%)",NA,NA,NA,NA
"AGE3","svy.chisq.test","categorical","level","Age Group","16-17","3,284 (36%)","1,148 (45%)","2,136 (32%)",NA,NA,NA,NA
"IRSEX","svy.chisq.test","categorical","label","Sex","Sex",NA,NA,NA,NA,NA,247.973355167005,5.10876098341132e-21
"IRSEX","svy.chisq.test","categorical","level","Sex","Male","4,798 (50%)","755 (27%)","4,043 (59%)",NA,NA,NA,NA
"IRSEX","svy.chisq.test","categorical","level","Sex","Female","4,649 (50%)","1,884 (73%)","2,765 (41%)",NA,NA,NA,NA
"NEWRACE2","svy.chisq.test","categorical","label","Race/Ethnicity","Race/Ethnicity",NA,NA,NA,NA,NA,4.6858685152091,0.000402696342998056
"NEWRACE2","svy.chisq.test","categorical","level","Race/Ethnicity","1","4,265 (51%)","1,226 (53%)","3,039 (50%)",NA,NA,NA,NA
"NEWRACE2","svy.chisq.test","categorical","level","Race/Ethnicity","2","1,164 (13%)","240 (9.2%)","924 (15%)",NA,NA,NA,NA
"NEWRACE2","svy.chisq.test","categorical","level","Race/Ethnicity","3","320 (0.8%)","74 (0.8%)","246 (0.8%)",NA,NA,NA,NA
"NEWRACE2","svy.chisq.test","categorical","level","Race/Ethnicity","4","39 (0.3%)","6 (0.2%)","33 (0.3%)",NA,NA,NA,NA
"NEWRACE2","svy.chisq.test","categorical","level","Race/Ethnicity","5","461 (5.8%)","102 (4.8%)","359 (6.2%)",NA,NA,NA,NA
