"Variable","Category","Weighted_Count","Proportion","CI_Lower","CI_Upper"
"AGE3","12-13",5456387.23528491,0.284175386407513,0.269757083335767,0.29859368947926
"AGE3","14-15",6860223.52267505,0.357288914135566,0.33912589052552,0.375451937745613
"AGE3","16-17",6884162.76526242,0.358535699456917,0.34094453877723,0.376126860136605
"IRSEX","Male",9655580.90424895,0.50287457911896,0.485541962089501,0.520207196148419
"IRSEX","Female",9545192.61897343,0.497125420881039,0.479792803851579,0.514458037910498
"NEWRACE2","1",9609557.87953977,0.500477643148985,0.480908739836574,0.520046546461395
"NEWRACE2","2",2559266.78962189,0.133289775358611,0.120500636935632,0.146078913781589
"NEWRACE2","3",140695.65095392,0.00732760327513653,0.00518090909660157,0.00947429745367148
"NEWRACE2","4",53997.2437476746,0.00281224314647363,0.000712626347990197,0.00491185994495706
"NEWRACE2","5",1134540.87985675,0.0590882902964599,0.0497438239385191,0.0684327566544007
"NEWRACE2","6",686367.303466789,0.0357468568980651,0.0300809806350216,0.0414127331611085
"NEWRACE2","7",5016347.77603561,0.261257587876268,0.237279406756178,0.285235768996358
"EDUSCHGRD2","1",23085.045813567,0.00120229769835297,0.000446565581819539,0.0019580298148864
"EDUSCHGRD2","2",695182.696273486,0.0362059734433457,0.0309237212408777,0.0414882256458137
"EDUSCHGRD2","3",2574344.96649197,0.134075065433089,0.122552902345262,0.145597228520916
"EDUSCHGRD2","4",3121297.72265656,0.162561040516493,0.149990068374566,0.17513201265842
"EDUSCHGRD2","5",3558964.27684584,0.185355255221434,0.173587566673376,0.197122943769492
"EDUSCHGRD2","6",3450451.09287191,0.179703754575239,0.163612938698791,0.195794570451686
"EDUSCHGRD2","7",3548809.22814254,0.184826367742446,0.169774430809524,0.199878304675368
"EDUSCHGRD2","8",2091764.41978222,0.108941674524327,0.0983268945949869,0.119556454453668
"EDUSCHGRD2","9",119483.938760194,0.00622287110546267,0.00422461307201914,0.0082211291389062
"EDUSCHGRD2","10",17390.1355840963,0.000905699739808073,-0.000251374178465874,0.00206277365808202
"POVERTY3","1",3960665.35248342,0.206276343382374,0.190614912102233,0.221937774662515
"POVERTY3","2",3847435.97308594,0.200379217453538,0.18444502623047,0.216313408676607
"POVERTY3","3",11392672.1976531,0.593344439164086,0.572679025931497,0.614009852396675
"AVGGRADE","1",839876.461818718,0.0437418034644764,0.0379925867977297,0.0494910201312231
"AVGGRADE","2",18360897.0614037,0.956258196535519,0.950508979868772,0.962007413202266
"PARLMTSN","1",11128954.0844337,0.579609674108898,0.562070422446889,0.597148925770908
"PARLMTSN","2",8071819.43878865,0.420390325891099,0.402851074229089,0.437929577553109
